"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 6","Percent","Suspensions","55.6"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 7","Percent","Suspensions","43.5"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 8","Percent","Suspensions","30.8"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 9","Percent","Suspensions","35.9"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 10","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 11","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 12","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2012-2013","Kindergarten","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 1","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 2","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 3","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 4","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 5","Percent","Suspensions","22.3"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 6","Percent","Suspensions","23.9"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 7","Percent","Suspensions","23.5"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 8","Percent","Suspensions","16.9"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 9","Percent","Suspensions","48.1"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 10","Percent","Suspensions","52.8"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 11","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2012-2013","Grade 12","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2013-2014","Kindergarten","Percent","Suspensions","9.1"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 1","Percent","Suspensions","12.1"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 2","Percent","Suspensions","9.3"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 3","Percent","Suspensions","8.9"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 4","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 5","Percent","Suspensions","41.2"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 6","Percent","Suspensions","40.0"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 7","Percent","Suspensions","48.2"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 8","Percent","Suspensions","42.4"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 9","Percent","Suspensions","50.0"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 10","Percent","Suspensions","55.3"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 11","Percent","Suspensions","54.5"
"Achievement First Bridgeport Academy District","","2013-2014","Grade 12","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2014-2015","Kindergarten","Percent","Suspensions","19.3"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 1","Percent","Suspensions","11.1"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 2","Percent","Suspensions","11.0"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 3","Percent","Suspensions","22.9"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 4","Percent","Suspensions","8.9"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 5","Percent","Suspensions","44.0"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 6","Percent","Suspensions","52.2"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 7","Percent","Suspensions","42.6"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 8","Percent","Suspensions","50.7"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 9","Percent","Suspensions","58.0"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 10","Percent","Suspensions","41.5"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 11","Percent","Suspensions","31.0"
"Achievement First Bridgeport Academy District","","2014-2015","Grade 12","Percent","Suspensions","30.0"
"Achievement First Bridgeport Academy District","","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 1","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 3","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 4","Percent","Suspensions","10.9"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 5","Percent","Suspensions","37.2"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 6","Percent","Suspensions","51.1"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 7","Percent","Suspensions","37.6"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 8","Percent","Suspensions","17.8"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 9","Percent","Suspensions","56.3"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 10","Percent","Suspensions","45.5"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 11","Percent","Suspensions","33.3"
"Achievement First Bridgeport Academy District","","2015-2016","Grade 12","Percent","Suspensions","37.0"
"Achievement First Bridgeport Academy District","","2016-2017","Kindergarten","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 1","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 2","Percent","Suspensions","6.4"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 3","Percent","Suspensions","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 4","Percent","Suspensions","7.8"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 5","Percent","Suspensions","24.7"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 6","Percent","Suspensions","28.7"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 7","Percent","Suspensions","48.9"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 8","Percent","Suspensions","24.4"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 9","Percent","Suspensions","27.9"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 10","Percent","Suspensions","31.6"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 11","Percent","Suspensions","27.0"
"Achievement First Bridgeport Academy District","","2016-2017","Grade 12","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2009-2010","Kindergarten","Percent","Suspensions","18.8"
"Achievement First Hartford Academy District","","2009-2010","Grade 1","Percent","Suspensions","36.7"
"Achievement First Hartford Academy District","","2009-2010","Grade 2","Percent","Suspensions","39.8"
"Achievement First Hartford Academy District","","2009-2010","Grade 3","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2009-2010","Grade 4","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2009-2010","Grade 5","Percent","Suspensions","29.5"
"Achievement First Hartford Academy District","","2009-2010","Grade 6","Percent","Suspensions","30.1"
"Achievement First Hartford Academy District","","2009-2010","Grade 7","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2009-2010","Grade 8","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2009-2010","Grade 9","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2009-2010","Grade 10","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2009-2010","Grade 11","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2009-2010","Grade 12","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2010-2011","Kindergarten","Percent","Suspensions","13.6"
"Achievement First Hartford Academy District","","2010-2011","Grade 1","Percent","Suspensions","14.3"
"Achievement First Hartford Academy District","","2010-2011","Grade 2","Percent","Suspensions","30.1"
"Achievement First Hartford Academy District","","2010-2011","Grade 3","Percent","Suspensions","10.3"
"Achievement First Hartford Academy District","","2010-2011","Grade 4","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2010-2011","Grade 5","Percent","Suspensions","47.8"
"Achievement First Hartford Academy District","","2010-2011","Grade 6","Percent","Suspensions","48.8"
"Achievement First Hartford Academy District","","2010-2011","Grade 7","Percent","Suspensions","59.7"
"Achievement First Hartford Academy District","","2010-2011","Grade 8","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2010-2011","Grade 9","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2010-2011","Grade 10","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2010-2011","Grade 11","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2010-2011","Grade 12","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2011-2012","Kindergarten","Percent","Suspensions","6.8"
"Achievement First Hartford Academy District","","2011-2012","Grade 1","Percent","Suspensions","30.3"
"Achievement First Hartford Academy District","","2011-2012","Grade 2","Percent","Suspensions","36.5"
"Achievement First Hartford Academy District","","2011-2012","Grade 3","Percent","Suspensions","44.2"
"Achievement First Hartford Academy District","","2011-2012","Grade 4","Percent","Suspensions","36.5"
"Achievement First Hartford Academy District","","2011-2012","Grade 5","Percent","Suspensions","43.3"
"Achievement First Hartford Academy District","","2011-2012","Grade 6","Percent","Suspensions","51.6"
"Achievement First Hartford Academy District","","2011-2012","Grade 7","Percent","Suspensions","43.8"
"Achievement First Hartford Academy District","","2011-2012","Grade 8","Percent","Suspensions","53.5"
"Achievement First Hartford Academy District","","2011-2012","Grade 9","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2011-2012","Grade 10","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2011-2012","Grade 11","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2011-2012","Grade 12","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2012-2013","Kindergarten","Percent","Suspensions","41.3"
"Achievement First Hartford Academy District","","2012-2013","Grade 1","Percent","Suspensions","36.4"
"Achievement First Hartford Academy District","","2012-2013","Grade 2","Percent","Suspensions","54.4"
"Achievement First Hartford Academy District","","2012-2013","Grade 3","Percent","Suspensions","53.4"
"Achievement First Hartford Academy District","","2012-2013","Grade 4","Percent","Suspensions","48.6"
"Achievement First Hartford Academy District","","2012-2013","Grade 5","Percent","Suspensions","40.0"
"Achievement First Hartford Academy District","","2012-2013","Grade 6","Percent","Suspensions","52.3"
"Achievement First Hartford Academy District","","2012-2013","Grade 7","Percent","Suspensions","55.4"
"Achievement First Hartford Academy District","","2012-2013","Grade 8","Percent","Suspensions","41.0"
"Achievement First Hartford Academy District","","2012-2013","Grade 9","Percent","Suspensions","66.7"
"Achievement First Hartford Academy District","","2012-2013","Grade 10","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2012-2013","Grade 11","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2012-2013","Grade 12","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2013-2014","Kindergarten","Percent","Suspensions","10.2"
"Achievement First Hartford Academy District","","2013-2014","Grade 1","Percent","Suspensions","21.2"
"Achievement First Hartford Academy District","","2013-2014","Grade 2","Percent","Suspensions","19.3"
"Achievement First Hartford Academy District","","2013-2014","Grade 3","Percent","Suspensions","24.1"
"Achievement First Hartford Academy District","","2013-2014","Grade 4","Percent","Suspensions","26.3"
"Achievement First Hartford Academy District","","2013-2014","Grade 5","Percent","Suspensions","40.2"
"Achievement First Hartford Academy District","","2013-2014","Grade 6","Percent","Suspensions","49.4"
"Achievement First Hartford Academy District","","2013-2014","Grade 7","Percent","Suspensions","50.0"
"Achievement First Hartford Academy District","","2013-2014","Grade 8","Percent","Suspensions","38.0"
"Achievement First Hartford Academy District","","2013-2014","Grade 9","Percent","Suspensions","22.9"
"Achievement First Hartford Academy District","","2013-2014","Grade 10","Percent","Suspensions","19.5"
"Achievement First Hartford Academy District","","2013-2014","Grade 11","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2013-2014","Grade 12","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2014-2015","Kindergarten","Percent","Suspensions","11.4"
"Achievement First Hartford Academy District","","2014-2015","Grade 1","Percent","Suspensions","11.9"
"Achievement First Hartford Academy District","","2014-2015","Grade 2","Percent","Suspensions","21.4"
"Achievement First Hartford Academy District","","2014-2015","Grade 3","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2014-2015","Grade 4","Percent","Suspensions","23.2"
"Achievement First Hartford Academy District","","2014-2015","Grade 5","Percent","Suspensions","42.1"
"Achievement First Hartford Academy District","","2014-2015","Grade 6","Percent","Suspensions","45.8"
"Achievement First Hartford Academy District","","2014-2015","Grade 7","Percent","Suspensions","47.6"
"Achievement First Hartford Academy District","","2014-2015","Grade 8","Percent","Suspensions","57.4"
"Achievement First Hartford Academy District","","2014-2015","Grade 9","Percent","Suspensions","20.8"
"Achievement First Hartford Academy District","","2014-2015","Grade 10","Percent","Suspensions","30.8"
"Achievement First Hartford Academy District","","2014-2015","Grade 11","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2014-2015","Grade 12","Percent","Suspensions","0"
"Achievement First Hartford Academy District","","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2015-2016","Grade 1","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2015-2016","Grade 3","Percent","Suspensions","11.1"
"Achievement First Hartford Academy District","","2015-2016","Grade 4","Percent","Suspensions","9.8"
"Achievement First Hartford Academy District","","2015-2016","Grade 5","Percent","Suspensions","46.8"
"Achievement First Hartford Academy District","","2015-2016","Grade 6","Percent","Suspensions","37.2"
"Achievement First Hartford Academy District","","2015-2016","Grade 7","Percent","Suspensions","59.7"
"Achievement First Hartford Academy District","","2015-2016","Grade 8","Percent","Suspensions","48.5"
"Achievement First Hartford Academy District","","2015-2016","Grade 9","Percent","Suspensions","18.6"
"Achievement First Hartford Academy District","","2015-2016","Grade 10","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2015-2016","Grade 11","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2015-2016","Grade 12","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2016-2017","Kindergarten","Percent","Suspensions","-6666"
"Achievement First Hartford Academy District","","2016-2017","Grade 1","Percent","Suspensions","11.3"
"Achievement First Hartford Academy District","","2016-2017","Grade 2","Percent","Suspensions","9.3"
"Achievement First Hartford Academy District","","2016-2017","Grade 3","Percent","Suspensions","16.9"
"Achievement First Hartford Academy District","","2016-2017","Grade 4","Percent","Suspensions","23.6"
"Achievement First Hartford Academy District","","2016-2017","Grade 5","Percent","Suspensions","30.2"
"Achievement First Hartford Academy District","","2016-2017","Grade 6","Percent","Suspensions","29.5"
"Achievement First Hartford Academy District","","2016-2017","Grade 7","Percent","Suspensions","33.6"
"Achievement First Hartford Academy District","","2016-2017","Grade 8","Percent","Suspensions","42.4"
"Achievement First Hartford Academy District","","2016-2017","Grade 9","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2016-2017","Grade 10","Percent","Suspensions","-9999"
"Achievement First Hartford Academy District","","2016-2017","Grade 11","Percent","Suspensions","17.9"
"Achievement First Hartford Academy District","","2016-2017","Grade 12","Percent","Suspensions","-9999"
"Amistad Academy District","","2009-2010","Kindergarten","Percent","Suspensions","-9999"
"Amistad Academy District","","2009-2010","Grade 1","Percent","Suspensions","19.5"
"Amistad Academy District","","2009-2010","Grade 2","Percent","Suspensions","17.1"
"Amistad Academy District","","2009-2010","Grade 3","Percent","Suspensions","-9999"
"Amistad Academy District","","2009-2010","Grade 4","Percent","Suspensions","0"
"Amistad Academy District","","2009-2010","Grade 5","Percent","Suspensions","16.7"
"Amistad Academy District","","2009-2010","Grade 6","Percent","Suspensions","16.4"
"Amistad Academy District","","2009-2010","Grade 7","Percent","Suspensions","23.0"
"Amistad Academy District","","2009-2010","Grade 8","Percent","Suspensions","19.6"
"Amistad Academy District","","2009-2010","Grade 9","Percent","Suspensions","30.6"
"Amistad Academy District","","2009-2010","Grade 10","Percent","Suspensions","37.5"
"Amistad Academy District","","2009-2010","Grade 11","Percent","Suspensions","25.9"
"Amistad Academy District","","2009-2010","Grade 12","Percent","Suspensions","31.8"
"Amistad Academy District","","2010-2011","Kindergarten","Percent","Suspensions","10.0"
"Amistad Academy District","","2010-2011","Grade 1","Percent","Suspensions","12.5"
"Amistad Academy District","","2010-2011","Grade 2","Percent","Suspensions","21.8"
"Amistad Academy District","","2010-2011","Grade 3","Percent","Suspensions","19.5"
"Amistad Academy District","","2010-2011","Grade 4","Percent","Suspensions","17.3"
"Amistad Academy District","","2010-2011","Grade 5","Percent","Suspensions","22.2"
"Amistad Academy District","","2010-2011","Grade 6","Percent","Suspensions","17.9"
"Amistad Academy District","","2010-2011","Grade 7","Percent","Suspensions","16.4"
"Amistad Academy District","","2010-2011","Grade 8","Percent","Suspensions","43.9"
"Amistad Academy District","","2010-2011","Grade 9","Percent","Suspensions","40.0"
"Amistad Academy District","","2010-2011","Grade 10","Percent","Suspensions","26.7"
"Amistad Academy District","","2010-2011","Grade 11","Percent","Suspensions","-9999"
"Amistad Academy District","","2010-2011","Grade 12","Percent","Suspensions","-9999"
"Amistad Academy District","","2011-2012","Kindergarten","Percent","Suspensions","21.5"
"Amistad Academy District","","2011-2012","Grade 1","Percent","Suspensions","-9999"
"Amistad Academy District","","2011-2012","Grade 2","Percent","Suspensions","10.8"
"Amistad Academy District","","2011-2012","Grade 3","Percent","Suspensions","10.5"
"Amistad Academy District","","2011-2012","Grade 4","Percent","Suspensions","-9999"
"Amistad Academy District","","2011-2012","Grade 5","Percent","Suspensions","31.0"
"Amistad Academy District","","2011-2012","Grade 6","Percent","Suspensions","48.8"
"Amistad Academy District","","2011-2012","Grade 7","Percent","Suspensions","47.6"
"Amistad Academy District","","2011-2012","Grade 8","Percent","Suspensions","25.4"
"Amistad Academy District","","2011-2012","Grade 9","Percent","Suspensions","35.9"
"Amistad Academy District","","2011-2012","Grade 10","Percent","Suspensions","-9999"
"Amistad Academy District","","2011-2012","Grade 11","Percent","Suspensions","24.0"
"Amistad Academy District","","2011-2012","Grade 12","Percent","Suspensions","-9999"
"Amistad Academy District","","2012-2013","Kindergarten","Percent","Suspensions","12.2"
"Amistad Academy District","","2012-2013","Grade 1","Percent","Suspensions","17.0"
"Amistad Academy District","","2012-2013","Grade 2","Percent","Suspensions","10.0"
"Amistad Academy District","","2012-2013","Grade 3","Percent","Suspensions","10.5"
"Amistad Academy District","","2012-2013","Grade 4","Percent","Suspensions","12.0"
"Amistad Academy District","","2012-2013","Grade 5","Percent","Suspensions","68.5"
"Amistad Academy District","","2012-2013","Grade 6","Percent","Suspensions","61.1"
"Amistad Academy District","","2012-2013","Grade 7","Percent","Suspensions","64.6"
"Amistad Academy District","","2012-2013","Grade 8","Percent","Suspensions","62.8"
"Amistad Academy District","","2012-2013","Grade 9","Percent","Suspensions","43.8"
"Amistad Academy District","","2012-2013","Grade 10","Percent","Suspensions","51.6"
"Amistad Academy District","","2012-2013","Grade 11","Percent","Suspensions","46.2"
"Amistad Academy District","","2012-2013","Grade 12","Percent","Suspensions","43.5"
"Amistad Academy District","","2013-2014","Kindergarten","Percent","Suspensions","10.1"
"Amistad Academy District","","2013-2014","Grade 1","Percent","Suspensions","11.4"
"Amistad Academy District","","2013-2014","Grade 2","Percent","Suspensions","18.5"
"Amistad Academy District","","2013-2014","Grade 3","Percent","Suspensions","22.6"
"Amistad Academy District","","2013-2014","Grade 4","Percent","Suspensions","24.1"
"Amistad Academy District","","2013-2014","Grade 5","Percent","Suspensions","53.5"
"Amistad Academy District","","2013-2014","Grade 6","Percent","Suspensions","57.0"
"Amistad Academy District","","2013-2014","Grade 7","Percent","Suspensions","55.3"
"Amistad Academy District","","2013-2014","Grade 8","Percent","Suspensions","57.9"
"Amistad Academy District","","2013-2014","Grade 9","Percent","Suspensions","51.6"
"Amistad Academy District","","2013-2014","Grade 10","Percent","Suspensions","41.5"
"Amistad Academy District","","2013-2014","Grade 11","Percent","Suspensions","37.0"
"Amistad Academy District","","2013-2014","Grade 12","Percent","Suspensions","40.0"
"Amistad Academy District","","2014-2015","Kindergarten","Percent","Suspensions","16.3"
"Amistad Academy District","","2014-2015","Grade 1","Percent","Suspensions","14.0"
"Amistad Academy District","","2014-2015","Grade 2","Percent","Suspensions","13.3"
"Amistad Academy District","","2014-2015","Grade 3","Percent","Suspensions","13.3"
"Amistad Academy District","","2014-2015","Grade 4","Percent","Suspensions","19.5"
"Amistad Academy District","","2014-2015","Grade 5","Percent","Suspensions","62.6"
"Amistad Academy District","","2014-2015","Grade 6","Percent","Suspensions","45.5"
"Amistad Academy District","","2014-2015","Grade 7","Percent","Suspensions","33.3"
"Amistad Academy District","","2014-2015","Grade 8","Percent","Suspensions","45.6"
"Amistad Academy District","","2014-2015","Grade 9","Percent","Suspensions","44.1"
"Amistad Academy District","","2014-2015","Grade 10","Percent","Suspensions","56.4"
"Amistad Academy District","","2014-2015","Grade 11","Percent","Suspensions","24.2"
"Amistad Academy District","","2014-2015","Grade 12","Percent","Suspensions","30.8"
"Amistad Academy District","","2015-2016","Kindergarten","Percent","Suspensions","-9999"
"Amistad Academy District","","2015-2016","Grade 1","Percent","Suspensions","12.2"
"Amistad Academy District","","2015-2016","Grade 2","Percent","Suspensions","-9999"
"Amistad Academy District","","2015-2016","Grade 3","Percent","Suspensions","20.9"
"Amistad Academy District","","2015-2016","Grade 4","Percent","Suspensions","23.9"
"Amistad Academy District","","2015-2016","Grade 5","Percent","Suspensions","29.8"
"Amistad Academy District","","2015-2016","Grade 6","Percent","Suspensions","39.4"
"Amistad Academy District","","2015-2016","Grade 7","Percent","Suspensions","43.0"
"Amistad Academy District","","2015-2016","Grade 8","Percent","Suspensions","36.1"
"Amistad Academy District","","2015-2016","Grade 9","Percent","Suspensions","52.3"
"Amistad Academy District","","2015-2016","Grade 10","Percent","Suspensions","44.8"
"Amistad Academy District","","2015-2016","Grade 11","Percent","Suspensions","43.5"
"Amistad Academy District","","2015-2016","Grade 12","Percent","Suspensions","30.0"
"Amistad Academy District","","2016-2017","Kindergarten","Percent","Suspensions","7.7"
"Amistad Academy District","","2016-2017","Grade 1","Percent","Suspensions","6.6"
"Amistad Academy District","","2016-2017","Grade 2","Percent","Suspensions","12.9"
"Amistad Academy District","","2016-2017","Grade 3","Percent","Suspensions","20.9"
"Amistad Academy District","","2016-2017","Grade 4","Percent","Suspensions","41.3"
"Amistad Academy District","","2016-2017","Grade 5","Percent","Suspensions","24.0"
"Amistad Academy District","","2016-2017","Grade 6","Percent","Suspensions","33.0"
"Amistad Academy District","","2016-2017","Grade 7","Percent","Suspensions","29.2"
"Amistad Academy District","","2016-2017","Grade 8","Percent","Suspensions","32.2"
"Amistad Academy District","","2016-2017","Grade 9","Percent","Suspensions","32.9"
"Amistad Academy District","","2016-2017","Grade 10","Percent","Suspensions","40.6"
"Amistad Academy District","","2016-2017","Grade 11","Percent","Suspensions","26.0"
"Amistad Academy District","","2016-2017","Grade 12","Percent","Suspensions","38.5"
"Andover School District","","2009-2010","Kindergarten","Percent","Suspensions","-6666"
"Andover School District","","2009-2010","Grade 1","Percent","Suspensions","-6666"
"Andover School District","","2009-2010","Grade 2","Percent","Suspensions","-6666"
"Andover School District","","2009-2010","Grade 3","Percent","Suspensions","-6666"
"Andover School District","","2009-2010","Grade 4","Percent","Suspensions","-6666"
"Andover School District","","2009-2010","Grade 5","Percent","Suspensions","-6666"
"Andover School District","","2009-2010","Grade 6","Percent","Suspensions","-6666"
"Andover School District","","2009-2010","Grade 7","Percent","Suspensions","0"
"Andover School District","","2009-2010","Grade 8","Percent","Suspensions","0"
"Andover School District","","2009-2010","Grade 9","Percent","Suspensions","0"
"Andover School District","","2009-2010","Grade 10","Percent","Suspensions","0"
"Andover School District","","2009-2010","Grade 11","Percent","Suspensions","0"
"Andover School District","","2009-2010","Grade 12","Percent","Suspensions","0"
"Andover School District","","2010-2011","Kindergarten","Percent","Suspensions","-9999"
"Andover School District","","2010-2011","Grade 1","Percent","Suspensions","-6666"
"Andover School District","","2010-2011","Grade 2","Percent","Suspensions","-6666"
"Andover School District","","2010-2011","Grade 3","Percent","Suspensions","-6666"
"Andover School District","","2010-2011","Grade 4","Percent","Suspensions","-6666"
"Andover School District","","2010-2011","Grade 5","Percent","Suspensions","-9999"
"Andover School District","","2010-2011","Grade 6","Percent","Suspensions","-9999"
"Andover School District","","2010-2011","Grade 7","Percent","Suspensions","0"
"Andover School District","","2010-2011","Grade 8","Percent","Suspensions","0"
"Andover School District","","2010-2011","Grade 9","Percent","Suspensions","0"
"Andover School District","","2010-2011","Grade 10","Percent","Suspensions","0"
"Andover School District","","2010-2011","Grade 11","Percent","Suspensions","0"
"Andover School District","","2010-2011","Grade 12","Percent","Suspensions","0"
