"District","FIPS","Year","Grade","Measure Type","Variable","Value"
"Achievement First Bridgeport Academy District","","2009-2010","Kindergarten","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 1","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 2","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 3","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 4","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 5","Percent","Suspensions","10.8"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 6","Percent","Suspensions","19.5"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 7","Percent","Suspensions","12.7"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 8","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 9","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 10","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 11","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2009-2010","Grade 12","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Kindergarten","Percent","Suspensions","24.4"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 1","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 2","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 3","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 4","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 5","Percent","Suspensions","40.0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 6","Percent","Suspensions","50.6"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 7","Percent","Suspensions","38.7"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 8","Percent","Suspensions","41.8"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 9","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 10","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 11","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2010-2011","Grade 12","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2011-2012","Kindergarten","Percent","Suspensions","7.9"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 1","Percent","Suspensions","15.7"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 2","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 3","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 4","Percent","Suspensions","0"
"Achievement First Bridgeport Academy District","","2011-2012","Grade 5","Percent","Suspensions","38.6"
